,,,,,,
,,,,,,
,,,PFR,CSTR,,
,133,OK,,342,0.616901076,94.2362188
,134,OK,,343,0.613666257,94.2142127
,135,OK,,344,0.610459406,94.1920061
,136,OK,,345,0.6072802,94.1696018
,137,OK,,346,0.604128323,94.1470021
,138,OK,,347,0.601003461,94.1242094
,139,OK,,348,0.597905306,94.1012262
,140,OK,,349,0.594833551,94.0780549
,141,OK,,350,0.591787894,94.0546976
,142,OK,,351,0.588768038,94.0311568
,143,OK,,352,0.585773687,94.0074346
,144,OK,,353,0.582804551,93.9835333
,145,OK,,354,0.579860341,93.9594549
,146,OK,,355,0.576935195,93.9317794
,147,OK,,356,0.574040016,93.9074224
,148,OK,,357,0.571169013,93.8828957
,149,OK,,358,0.568321817,93.8582006
,150,OK,,359,0.565498167,93.8333392
,151,OK,,360,0.562697796,93.8083133
,152,OK,,361,0.559920442,93.783125
,153,OK,,362,0.557165845,93.7577761
,154,OK,,363,0.554433748,93.7322685
,155,OK,,364,0.5517239,93.7066041
,156,OK,,365,0.54903605,93.6807847
,157,OK,,366,0.546369951,93.6548121
,158,OK,,367,0.543725362,93.6286881
,159,OK,,368,0.541102042,93.6024144
,160,OK,,369,0.538499754,93.5759927
,161,OK,,370,0.535918265,93.5494247
,162,OK,,371,0.533357344,93.5227122
,163,OK,,372,0.530816763,93.4958566
,164,OK,,373,0.528296298,93.4688598
,165,OK,,374,0.525795727,93.4417232
,166,OK,,375,0.523314831,93.4144484
,167,OK,,376,0.520853395,93.387037
,168,OK,,377,0.518411206,93.3594906
,169,OK,,378,0.515988054,93.3318107
,170,OK,,379,0.51358373,93.3039987
,171,OK,,380,0.51119803,93.2760561
,172,OK,,381,0.508830753,93.2479843
,173,OK,,382,0.506481699,93.2197849
,174,OK,,383,0.504150671,93.1914593
,175,OK,,384,0.501837475,93.1630087
,176,OK,,385,0.49954192,93.1344346
,177,OK,,386,0.497263817,93.1057384
,178,OK,,387,0.495002978,93.0769214
,179,OK,,388,0.492759221,93.0479849
,180,OK,,389,0.490532362,93.0189303
,181,OK,,390,0.488322223,92.9897587
,182,OK,,391,0.486128627,92.9604716
,183,OK,,392,0.4839514,92.9310701
,184,OK,,393,0.481790368,92.9015555
,185,OK,,394,0.479645362,92.871929
,186,OK,,395,0.477516214,92.8421919
,187,OK,,396,0.475402758,92.8123452
,188,OK,,397,0.473304833,92.7823891
,189,OK,,398,0.471222282,92.7523272
,190,OK,,399,0.469154928,92.7221591
,191,OK,,400,0.467102626,92.6918861
,192,OK,,401,0.465065209,92.6615095
,193,OK,,402,0.463042544,92.6310301
,194,OK,,403,0.46103447,92.6004492
,195,OK,,404,0.459040847,92.569768
,196,OK,,405,0.457061507,92.5389873
,197,OK,,406,0.455096318,92.5081082
,198,OK,,407,0.453145133,92.4771317
,199,OK,,408,0.451207811,92.446059
,200,OK,,409,0.449284213,92.414891
,201,OK,,410,0.447374199,92.3836288
,202,OK,,411,0.445477634,92.3522732
,203,OK,,412,0.443594383,92.3208254
,204,OK,,413,0.441724312,92.2892861
,205,OK,,414,0.439867291,92.2576566
,206,OK,,415,0.43802319,92.2259375
,207,OK,,416,0.436191881,92.19413
,208,OK,,417,0.434373237,92.1622348
,209,OK,,418,0.432567134,92.130253
,210,OK,,419,0.430773448,92.0981854
,211,OK,,420,0.428992057,92.0660329
,212,OK,,421,0.427222842,92.0337965
,213,OK,,422,0.425465684,92.0014769
,214,OK,,423,0.423720465,91.9690751
,215,OK,,424,0.42198707,91.9365918
,216,OK,,425,0.420265385,91.9040281
,217,OK,,426,0.418555296,91.8713846
,218,OK,,427,0.416856692,91.8386622
,219,OK,,428,0.415169463,91.8058619
,220,OK,,429,0.4134935,91.7729843
,221,OK,,430,0.411828696,91.7400303
,222,OK,,431,0.410174944,91.7070007
,223,OK,,432,0.408532141,91.6738962
,224,OK,,433,0.406900181,91.6407178
,225,OK,,434,0.405278963,91.6074662
,226,OK,,435,0.403668387,91.5741421
,227,OK,,436,0.402068351,91.5407464
,228,OK,,437,0.400478758,91.5072798
,229,OK,,438,0.398899504,91.473743
,230,OK,,439,0.397330505,91.4401369
,231,OK,,440,0.395771659,91.4064622
,232,OK,,441,0.394222874,91.3727197
,233,OK,,442,0.392684056,91.33891
,234,OK,,443,0.391155113,91.305034
,235,OK,,444,0.389635955,91.2710923
,236,OK,,445,0.388126493,91.2370858
,237,OK,,446,0.386626637,91.2030151
,238,OK,,447,0.385136301,91.168881
,239,OK,,448,0.383655398,91.1346841
,240,OK,,449,0.382183843,91.1004253
,241,OK,,450,0.380721552,91.0661052
,242,OK,,451,0.379268441,91.0317245
,243,OK,,452,0.377824427,90.997284
,244,OK,,453,0.37638943,90.9627843
,245,OK,,454,0.374963369,90.9282262
,246,OK,,455,0.373546164,90.8936103
,247,OK,,456,0.372137738,90.8589373
,248,OK,,457,0.370738011,90.824208
,249,OK,,458,0.369346908,90.789423
,250,OK,,459,0.367964353,90.7545829
,251,OK,,460,0.366590265,90.7196873
,252,OK,,461,0.365224586,90.6847404
,253,OK,,462,0.363867226,90.6497393
,254,OK,,463,0.36251812,90.6146859
,255,OK,,464,0.361177194,90.5795808
,256,OK,,465,0.359844379,90.5444247
,257,OK,,466,0.358519603,90.5092182
,258,OK,,467,0.357202799,90.4739619
,259,OK,,468,0.355893897,90.4386566
,260,OK,,469,0.35459283,90.4033028
,261,OK,,470,0.353299531,90.3679012
,262,OK,,471,0.352013933,90.3324523
,263,OK,,472,0.350735971,90.2969569
,264,OK,,473,0.349465581,90.2614155
,265,OK,,474,0.348202699,90.2258288
,266,OK,,475,0.346947261,90.1901973
,267,OK,,476,0.345699204,90.1545216
,268,OK,,477,0.344458467,90.1188025
,269,OK,,478,0.343224989,90.0830403
,270,OK,,479,0.341998708,90.0472358
,271,OK,,480,0.340779565,90.0113894
,272,OK,,481,0.339567502,89.9755019
,273,OK,,482,0.338362458,89.9395737
,274,OK,,483,0.337164376,89.9036054
,275,OK,,484,0.3359732,89.8675976
,276,OK,,485,0.334788871,89.8315508
,277,OK,,486,0.333611335,89.7954656
,278,OK,,487,0.332440535,89.7593425
,279,OK,,488,0.331276416,89.7231821
,280,OK,,489,0.330118925,89.6869848
,281,OK,,490,0.328968007,89.6507513
,282,OK,,491,0.327823609,89.6144821
,283,OK,,492,0.326685679,89.5781776
,284,OK,,493,0.325554165,89.5418383
,285,OK,,494,0.324429015,89.5054649
,286,OK,,495,0.323310177,89.4690577
,287,OK,,496,0.322197602,89.4326174
,288,OK,,497,0.32109124,89.3961443
,289,OK,,498,0.319991041,89.359639
,290,OK,,499,0.318896956,89.3231019
,291,OK,,500,0.317808938,89.2865336
